iter	Passed	Remaining
502	958	946
503	959	944
504	960	941
505	961	938
506	962	935
507	963	933
508	964	930
509	965	927
510	966	924
511	967	921
512	968	919
513	969	916
514	970	913
515	971	910
516	971	908
517	972	905
518	973	902
519	974	899
520	975	896
521	976	894
522	977	891
523	978	888
524	979	886
525	980	883
526	981	880
527	982	878
528	983	875
529	984	872
530	985	870
531	986	867
532	986	864
533	987	862
534	988	859
535	989	856
536	990	854
537	991	851
538	992	849
539	994	847
540	995	844
541	996	842
542	997	839
543	998	837
544	999	834
545	1000	831
546	1001	829
547	1002	826
548	1003	824
549	1004	821
550	1005	819
551	1006	816
552	1007	813
553	1008	811
554	1008	809
555	1009	806
556	1010	803
557	1011	801
558	1012	798
559	1013	796
560	1014	793
561	1015	791
562	1016	788
563	1017	786
564	1018	783
565	1019	781
566	1020	779
567	1021	776
568	1022	774
569	1023	771
570	1023	769
571	1024	766
572	1025	764
573	1026	761
574	1027	759
575	1028	757
576	1029	754
577	1030	752
578	1031	749
579	1032	747
580	1033	745
581	1034	742
582	1034	740
583	1035	737
584	1036	735
585	1037	733
586	1038	730
587	1039	728
588	1040	726
589	1041	723
590	1042	721
591	1043	719
592	1044	716
593	1045	714
594	1046	712
595	1047	709
596	1048	707
597	1050	706
598	1051	704
599	1053	702
600	1054	700
601	1055	698
602	1056	695
603	1057	693
604	1058	691
605	1059	688
606	1060	686
607	1061	684
608	1062	682
609	1063	679
610	1064	677
611	1065	675
612	1066	673
613	1067	670
614	1068	668
615	1068	666
616	1069	664
617	1070	661
618	1071	659
619	1072	657
620	1073	655
621	1074	653
622	1075	650
623	1076	648
624	1077	646
625	1078	644
626	1078	641
627	1079	639
628	1080	637
629	1081	635
630	1082	633
631	1083	630
632	1084	628
633	1085	626
634	1086	624
635	1087	622
636	1088	620
637	1089	617
638	1090	615
639	1091	613
640	1091	611
641	1092	609
642	1093	607
643	1094	605
644	1095	602
645	1096	600
646	1097	598
647	1098	596
648	1099	594
649	1100	592
650	1100	590
651	1101	588
652	1102	586
653	1103	583
654	1104	581
655	1105	579
656	1106	577
657	1107	575
658	1108	573
659	1109	571
660	1110	569
661	1111	567
662	1112	565
663	1113	563
664	1114	561
665	1114	559
666	1115	557
667	1117	555
668	1118	553
669	1119	551
670	1120	549
671	1121	547
672	1122	545
673	1123	543
674	1124	541
675	1124	539
676	1125	537
677	1126	535
678	1127	533
679	1128	531
680	1129	529
681	1130	527
682	1131	525
683	1132	523
684	1133	521
685	1134	519
686	1135	517
687	1136	515
688	1137	513
689	1138	511
690	1139	509
691	1140	507
692	1141	505
693	1142	503
694	1143	501
695	1144	499
696	1145	497
697	1146	496
698	1147	494
699	1148	492
700	1149	490
701	1150	488
702	1151	486
703	1151	484
704	1152	482
705	1153	480
706	1154	478
707	1155	476
708	1156	474
709	1157	472
710	1158	471
711	1159	469
712	1160	467
713	1161	465
714	1162	463
715	1163	461
716	1164	459
717	1165	457
718	1166	455
719	1167	454
720	1168	452
721	1169	450
722	1170	448
723	1171	446
724	1172	444
725	1173	442
726	1174	440
727	1175	439
728	1176	437
729	1177	435
730	1178	433
731	1178	431
732	1179	429
733	1180	427
734	1181	426
735	1182	424
736	1183	422
737	1184	420
738	1185	418
739	1186	416
740	1187	415
741	1188	413
742	1189	411
743	1190	409
744	1191	407
745	1192	405
746	1193	404
747	1193	402
748	1194	400
749	1195	398
750	1196	396
751	1197	394
752	1198	393
753	1199	391
754	1200	389
755	1202	387
756	1203	386
757	1203	384
758	1204	382
759	1205	380
760	1206	379
761	1207	377
762	1208	375
763	1209	373
764	1210	371
765	1211	370
766	1212	368
767	1213	366
768	1214	364
769	1215	363
770	1216	361
771	1217	359
772	1218	357
773	1219	355
774	1219	354
775	1221	352
776	1221	350
777	1222	348
778	1223	347
779	1224	345
780	1225	343
781	1226	341
782	1227	340
783	1228	338
784	1229	336
785	1230	335
786	1231	333
787	1232	331
788	1233	329
789	1234	328
790	1235	326
791	1236	324
792	1237	322
793	1238	321
794	1239	319
795	1239	317
796	1240	316
797	1241	314
798	1242	312
799	1243	310
800	1244	309
801	1245	307
802	1246	305
803	1247	304
804	1248	302
805	1249	300
806	1250	299
807	1251	297
808	1252	295
809	1253	293
810	1254	292
811	1255	290
812	1256	288
813	1257	287
814	1258	285
815	1259	283
816	1260	282
817	1260	280
818	1261	278
819	1262	277
820	1263	275
821	1264	273
822	1265	272
823	1266	270
824	1267	268
825	1268	267
826	1269	265
827	1270	263
828	1271	262
829	1272	260
830	1273	258
831	1274	257
832	1274	255
833	1275	253
834	1276	252
835	1277	250
836	1278	249
837	1279	247
838	1280	245
839	1281	244
840	1282	242
841	1283	240
842	1284	239
843	1285	237
844	1286	235
845	1287	234
846	1288	232
847	1289	231
848	1289	229
849	1290	227
850	1291	226
851	1292	224
852	1293	222
853	1294	221
854	1295	219
855	1296	218
856	1297	216
857	1298	214
858	1299	213
859	1300	211
860	1301	210
861	1302	208
862	1303	206
863	1304	205
864	1305	203
865	1305	202
866	1306	200
867	1307	198
868	1308	197
869	1309	195
870	1310	194
871	1311	192
872	1312	190
873	1313	189
874	1314	187
875	1315	186
876	1316	184
877	1317	183
878	1318	181
879	1319	179
880	1320	178
881	1320	176
882	1321	175
883	1322	173
884	1323	172
885	1324	170
886	1325	168
887	1326	167
888	1327	165
889	1328	164
890	1329	162
891	1330	161
892	1331	159
893	1332	157
894	1333	156
895	1334	154
896	1335	153
897	1336	151
898	1337	150
899	1338	148
900	1338	147
901	1339	145
902	1341	144
903	1343	142
904	1344	141
905	1346	139
906	1347	138
907	1348	136
908	1349	135
909	1350	133
910	1351	132
911	1352	130
912	1353	128
913	1354	127
914	1355	125
915	1356	124
916	1357	122
917	1358	121
918	1359	119
919	1360	118
920	1361	116
921	1362	115
922	1363	113
923	1364	112
924	1365	110
925	1365	109
926	1366	107
927	1367	106
928	1368	104
929	1369	103
930	1370	101
931	1371	100
932	1372	98
933	1373	97
934	1374	95
935	1375	94
936	1376	92
937	1377	91
938	1378	89
939	1379	88
940	1379	86
941	1380	85
942	1382	83
943	1382	82
944	1383	80
945	1384	79
946	1385	77
947	1386	76
948	1387	74
949	1388	73
950	1389	71
951	1390	70
952	1391	68
953	1392	67
954	1393	65
955	1394	64
956	1395	62
957	1396	61
958	1397	59
959	1398	58
960	1398	56
961	1399	55
962	1400	53
963	1401	52
964	1402	50
965	1403	49
966	1404	47
967	1405	46
968	1406	44
969	1407	43
970	1408	42
971	1409	40
972	1410	39
973	1411	37
974	1412	36
975	1413	34
976	1414	33
977	1414	31
978	1415	30
979	1416	28
980	1417	27
981	1418	26
982	1419	24
983	1420	23
984	1421	21
985	1422	20
986	1423	18
987	1424	17
988	1425	15
989	1426	14
990	1427	12
991	1428	11
992	1429	10
993	1430	8
994	1430	7
995	1431	5
996	1432	4
997	1433	2
998	1434	1
999	1435	0
